Nâng cấp bắt đầu: 16:11:14_10-07-2023
16:11:37_10-07-2023 | ::1 | Di chuyển file data/certs/cacert.pem | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/action_mysql.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/api/ClearCache.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/constants.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/core/admin_access.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/core/admin_functions.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/core/admin_login.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/core/admin_login_zalo.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/core/admin_logout.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/core/filesystem_functions.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/core/is_admin.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/core/is_user.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/core/stat.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/core/theme_functions.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/core/user_functions.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/footer.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/functions.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/ini/mime.ini | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/ini.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/en/admin_authors.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/en/admin_global.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/en/admin_settings.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/en/admin_zalo.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/en/global.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/en/install.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/fr/admin_authors.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/fr/admin_global.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/fr/admin_settings.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/fr/admin_zalo.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/fr/global.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/fr/install.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/vi/admin_authors.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/vi/admin_global.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/vi/admin_settings.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/vi/admin_zalo.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/vi/functions.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/vi/global.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/language/vi/install.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/mainfile.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/plugin/qrcode.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/utf8/iconv_string_handler.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/utf8/mb_string_handler.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/utf8/php_string_handler.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file includes/xtemplate.class.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file index.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/action_mysql.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/config.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/data.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/data_by_lang.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/default.htaccess.txt | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/index.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/ini.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/template.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/tpl/step1.tpl | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/tpl/step2.tpl | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/tpl/step3.tpl | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/tpl/step4.tpl | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/tpl/step5.tpl | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/tpl/step6.tpl | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/tpl/step7.tpl | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/tpl/step8.tpl | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/tpl/theme.tpl | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/tpl/updatetheme.tpl | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file install/update.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/action_mysql.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/admin/add_banner.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/admin/edit_banner.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/admin/info_plan.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/admin/main.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/admin/show_list_stat.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/admin.functions.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/admin.menu.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/funcs/addads.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/funcs/click.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/funcs/viewmap.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/language/admin_en.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/language/admin_fr.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/language/admin_vi.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/language/en.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/language/fr.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/language/vi.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/banners/version.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/comment/action_mysql.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/comment/admin/config.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/comment/admin/edit.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/comment/comment.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/comment/funcs/post.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/comment/language/admin_en.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/comment/language/admin_fr.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/comment/language/admin_vi.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/comment/version.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/contact/admin/config.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/contact/admin/supporter-content.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/contact/funcs/main.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/contact/language/admin_en.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/contact/language/admin_fr.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/contact/language/admin_vi.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/contact/theme.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/contact/version.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/feeds/version.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/freecontent/admin/list.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/freecontent/admin/manager.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/freecontent/version.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/menu/admin/rows.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/menu/blocks/global.bootstrap.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/menu/menu_blocks.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/menu/version.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/Log/Log.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/Log/index.html | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/Shared/Logs.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/Shared/Posts.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/Shared/index.html | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/action_mysql.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin/admins.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin/cat.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin/change_cat.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin/content.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin/declined.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin/main.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin/move.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin/publtime.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin/re-published.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin/setting.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin/stop.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin/voices.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin/waiting.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin.functions.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/admin.menu.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/funcs/content.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/funcs/detail.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/funcs/groups.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/funcs/main.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/funcs/search.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file modules/news/funcs/sendmail.php | SUCCESS
